title,ingredients,recipe
만두김밥,"['단무지', '만두', '밥', '김', '고춧가루', '참기름', '간장', '소금']","단무지는 굵게 다지고,볼에 단무지와 고춧가루만두는 피를 벗긴 뒤 소만 따로 모아 간장밥은 소금김발에 김을 올리고 밥을 고르게 편 뒤 만두소, 단무지 순으로 올리고,김밥을 말고 1cm 두께로 썰어 마무리."
묵은지 참치김밥,"['당근', '시금치', '참치', '묵은지', '달걀', '밥', '김', '우엉조림', '단무지', '마요네즈', '소금', '참기름', '참깨']","당근은 얇게 채 썰고, 시금치는 밑동을 제거하고, 참치는 물기를 제거한 뒤 마요네즈묵은지는 흐르는 물에 씻은 뒤 손으로 꼭 짜 물기를 제거하고.달걀은 소금중약 불로 달군 팬에 식용유중간 불로 달군 팬에 식용유끓는 소금물데친 시금치는 소금밥은 소금김발에 김을 올리고 밥을 고르게 편 뒤 준비한 속재료를 올리고,김밥을 말고 참깨를 뿌린 뒤 1cm 두께로 썰어 마무리."
기본김밥,"['당근', '시금치', '햄', '맛살', '달걀물', '밥', '김', '단무지', '우엉조림', '소금', '참기름', '참깨']","당근은 얇게 채 썰고, 시금치는 밑동을 제거하고, 햄은 길게 가르고, 맛살은 길게 2등분하고,중약 불로 달군 팬에 식용유중간 불로 달군 팬에 식용유끓는 소금물밥은 소금김발 위에 김을 깔고 밥밥 중앙에 준비한 속재료를 차례로 얹고,밥과 밥 끝이 만나도록 덮어 꼭꼭 누르고,김발 위쪽을 당겨가며 탄탄하게 말고,김밥에 참기름"
대왕연어김밥,"['밥', '달걀', '생연어', '오이', '단무지', '김', '1/2장)', '맛살', '소금', '소금', '맛술']","뜨거운 밥에 배합초를 넣어 쫀득해질 때까지 고루 섞고, 볼에 달걀을 풀어 양념을 섞고,약한 불로 달군 팬에 식용유남은 달걀물은 두 번에 나눠 부어가며 돌돌 말아 속까지 고루 익히고,달걀말이와 연어는 두껍게 썰고, 오이와 단무지는 채 썰고,김발 위에 김2cm 두께로 잘라 마무리."
대구살시금치이유식,"['대구살', '시금치', '배추잎', '단호박', '불린 쌀', '마른표고버섯육수', '']","대구살, 시금치, 배추, 단호박은 잘게 다지고,냄비에 불린 쌀을 넣어 약한 불에서 볶고,쌀이 투명해지면 마른표고버섯육수끓어오르면 다진 재료를 모두 넣고 약한 불에서 밥이 무르게 될 때까지 끓여 마무리."
두부채소카레,"['다진 쇠고기', '양파', '두부', '브로콜리', '파프리카', '카레가루']","다진 쇠고기는 키친타월에 올려 핏물을 빼 준비하고, 양파, 브로콜리, 파프리카는 잘게 썰고,두부는 작게 깍둑 썰고,냄비를 달군 뒤 식용유쇠고기의 색이 변하면 양파를 넣어 중간 불에서 볶고,양파가 투명해지면 물"
얼갈이배추국밥,"['쇠고기 국거리용', '얼갈이배추', '밥', '국물용 멸치', '송송 썬 대파', '청주', '소금', '참기름', '고춧가루']","쇠고기는 작게 썰어 키친타월에 밭친 뒤 청주얼갈이배추는 소금냄비에 국물용 멸치와 물냄비에 참기름국물이 팔팔 끓으면 얼갈이배추를 넣고 중간 불로 줄여 10분 정도 더 끓인 뒤 대파를 넣고 소금으로 간을 맞추고,그릇에 담고 밥을 곁들여 마무리."
데리야키고추오므라이스,"['풋고추', '새우살', '밥', '달걀', '붉은 고추', '설탕', '소금']","고추는 길게 반 갈라 씨를 제거한 뒤 송송 썰고,새우는 옅은 소금물 팬에 식용유새우를 넣고 살짝 볶다가 익힌 뒤 밥을 넣어 볶아 밥알이 풀어지면 양념장을 부어 고루 간이 배도록 재빨리 섞어가며 볶고,달걀에 소금그릇에 달걀지단을 올리고 볶음밥을 담은 뒤 반으로 접어 마무리."
묵은지 돌솥밥,"['묵은지', '불린 쌀', '다진 쇠고기', '간장']","다진 쇠고기는 쇠고기 양념에 버무리고,묵은지는 양념을 털어 곱게 채 썰고,솥에 양념한 쇠고기를 넣고 중간 불로 익을 때까지 볶고,묵은지를 넣어 2~3분간 더 볶고,불린 쌀과 물"
사과당근무른밥,"['사과', '당근', '적양배추', '불린 쌀', '불린 차조', '채소육수', '']","사과와 당근은 껍질을 제거한 뒤 잘게 다지고,적양배추는 끓는 물에 3분 정도 삶아 잘게 다지고,냄비에 불린 쌀과 차조를 넣고 약한 불에 볶고,불린 쌀과 차조가 투명해지면 채소육수를 부어 중약 불로 끓이고,끓어오르기 시작하면 잘게 다진 채소와 과일을 넣고 약한 불에서 뭉근히 끓이고,밥이 무르게 지어지면 불을 끄고 마무리."
불고기 채소볶음밥,"['양파', '쇠고기 불고기용', '밥', '당근', '쪽파', '달걀', '설탕', '간장', '다진 마늘', '부순 통깨', '참기름', '소금', '간장']","양파와 당근은 다지고, 쪽파는 송송 썰고,쇠고기는 키친타월에 올려 핏물을 뺀 뒤 잘게 썰어 양념장에 재워두고,달걀은 소금같은 팬에 식용유고기가 반 정도 익으면 다진 양파와 당근을 넣어 볶고,당근이 거의 다 익으면 밥과 스크램블 에그와 간장"
오믈렛밥,"['양파', '칵테일 새우', '달걀', '우유', '시판 토마토소스', '밥', '느타리버섯', '마요네즈', '소금', '후춧가루']","양파는 곱게 채 썰고, 느타리버섯은 밑동을 제거한 뒤 잘게 찢고,칵테일 새우는 옅은 소금물팬에 식용유중약 불로 달군 팬에 식용유달걀이 반숙으로 익으면 토마토소스 볶음을 올려 반으로 접고,밥 위에 오믈렛을 올린 뒤 마요네즈를 소스통이나 비닐백에 넣어 지그재그로 짜 마무리."
크래미알밥,"['양파', '오이', '게맛살', '날치알', '밥', '상추', '깻잎', '김가루', '소금', '마요네즈', '초고추장']","양파와 오이는 곱게 채 썰어 각각 소금게맛살은 결대로 찢고,볼에 절인 양파와 오이, 게맛살, 날치알과 마요네즈상추와 깻잎은 굵게 채 썰고,밥 위에 게맛살샐러드를 올린 뒤 상추, 깻잎을 담고,초고추장을 소스통이나 비닐백에 담아 고루 뿌린 뒤 김가루를 올려 마무리."
오볶이밥,"['양파', '대파', '오징어', '밥', '양배추', '칵테일 새우', '달걀', '참깨', '다시마물']","양파와 양배추는 채 썰고, 대파는 송송 썰고,오징어는 내장과 눈, 다리 안쪽의 입을 제거한 뒤 깨끗이 씻어 물기를 제거해 한입 크기로 썰고, 칵테일 새우는 옅은 소금물양념장을 만들고,팬에 식용유식용유밥 위에 오징어볶음과 달걀프라이를 올린 뒤 참깨를 뿌려 마무리."
양파볶음 햄구이밥,"['양파', '통조림 햄', '밥', '쪽파', '달걀', '참깨', '설탕']","양파는 반으로 갈라 채 썰고, 쪽파는 송송 썰고,통조림 햄은 한입 크기로 깍둑 썰고,양념장을 만들고,팬에 식용유팬을 키친타월로 닦은 뒤 식용유밥 위에 양파볶음→햄→달걀프라이 순으로 올린 뒤 쪽파와 참깨를 뿌려 마무리."
햇밤대추현미무른밥,"['쌀', '발아현미', '밤', '양파', '대추', '채소육수', '']","쌀과 발아현미는 각각 깨끗이 씻은 뒤 물을 넉넉히 부어 30분 정도 불리고,밤과 양파는 껍질을 벗겨 잘게 다지고, 대추는 면포로 깨끗이 닦고 껍질을 돌려가며 깎아 씨를 제거한 뒤 잘게 다지고,중약 불로 달군 냄비에 불린 쌀과 발아현미를 넣고 투명해질 때까지 볶다가 채소육수를 부어 끓이고,보글보글 끓어오르면 준비한 재료를 넣고 약한 불에서 쌀알이 퍼질 때까지 저어가며 끓여 마무리."
떠먹는 현미밥피자,"['시판 토마토소스', '현미밥', '달걀', '슈레드 모차렐라치즈', '파프리카', '햄', '통조림 옥수수']","파프리카와 햄은 작게 깍둑 썰고,팬에 파프리카, 햄, 통조림 옥수수, 토마토소스현미밥에 달걀을 섞고,내열용기에 달걀밥을 넣어 1cm 두께로 펴고,볶은 재료를 밥 위에 고루 올리고,슈레드 모차렐라치즈를 뿌린 뒤 전자레인지에 5분간 돌려 마무리."
전복채소무른밥,"['전복', '양파', '감자', '부추', '불린 쌀', '채소국물', '참기름']","전복은 껍질과 내장을 떼어내고 깨끗이 씻은 뒤 잘게 다지고, 양파, 감자, 부추도 잘게 다지고,냄비에 참기름고소한 향이 올라오기 시작하면 채소국물보글보글 끓기 시작하면 다진 채소를 넣고 중약 불로 줄인 뒤 푹 끓여 마무리."
게살샐러드 유부초밥,"['시판 유부초밥', '밥', '게맛살', '양파', '오이', '양배추', '레몬즙', '마요네즈', '꿀']","시판 유부초밥에 동봉된 밥양념과 후레이크는 밥에 넣어 버무린 뒤 식혀두고,게맛살은 잘게 찢고, 양파, 양배추, 오이는 얇게 채 썰고,양파는 찬물에 담가 매운맛을 뺀 뒤 물기를 제거하고,샐러드 드레싱을 만든 뒤 게맛살과 채소에 넣어 버무리고,양념한 밥은 유부에 넣은 뒤 게살샐러드를 올려 마무리."
물오징어 간장덮밥,"['작은 물오징어', '마늘', '양파', '밥', '붉은 피망', '청피망', '대파', '물엿', '참깨', '설탕']","손질한 물오징어는 몸통 안쪽에 벌집 모양으로 칼집을 낸 뒤 아이들 한입 크기로 썰어 끓는 물에 30초 정도 데치고,마늘은 얇게 썰고, 양파와 피망은 곱게 채 썬 뒤 4cm로 자르고, 대파는 송송 썰고,마른 팬에 조림장과 마늘을 넣어 중간 불로 끓이고,끓어오르면 양파와 오징어를 넣고 국물이 자작해질 때까지 센 불로 조리고,국물이 자작해지면 피망, 대파, 물엿밥 위에 얹은 뒤 참깨를 뿌려 마무리."
불고기대파꼬치와 주먹밥,"['밥', '쇠고기 불고기용', '대파', '후리가케', '참기름', '설탕']","밥에 밥 양념을 넣고 버무려 한입 크기로 동그랗게 주먹밥을 만들고,쇠고기는 한입 크기로 등분해 불고기 양념을 넣고 버무려 5~10분간 두고,대파는 한입 크기로 썰고,꼬치에 불고기와 대파를 번갈아 끼우고,팬을 중간 불로 달군 뒤 식용유"
된장돼지고기덮밥,"['돼지고기 구이용', '애호박', '밥', '양파', '설탕', '소금', '간장', '참기름']","고기는 한입 크기로 썰어 고기 밑간에 버무리고,양파는 동그란 모양을 살려 얇게 썰고, 애호박은 얇게 썰고,양파는 찬물에 담가 매운맛을 제거한 뒤 물기를 제거하고, 애호박은 소금팬에 식용유식용유"
제육치즈 팬볶음밥,"['양파', '김치', '돼지고기', '밥', '슈레드 모차렐라치즈', '피망', '표고버섯', '설탕', '참기름']","양파와 피망은 작게 썰고, 표고버섯은 밑동을 뗀 뒤 납작하게 썰고, 김치는 굵게 다지고,돼지고기는 작게 썰고 김치와 양념장을 넣어 버무리고,팬에 식용유고기가 익기 시작하면 양파와 피망, 표고버섯을 넣어 조금 더 볶고,채소의 숨이 죽고 고기가 거의 익으면 밥을 넣어 간이 배도록 저어가며 볶고,참기름"
김치양념밥,"['쌀', '김치', '']","쌀은 2~3번 깨끗이 헹군 뒤 물에 담가 30분간 불리고,불린 쌀은 체에 밭쳐 물기를 빼고,김치는 송송 썰어 밑간에 버무리고,밥솥에 불린 쌀과 밑간한 김치를 넣어 고루 섞고,물"
우엉조림 현미주먹밥,"['우엉', '다시마물', '현미밥', '설탕', '올리고당', '참기름']","우엉은 칼로 긁어 껍질을 벗긴 뒤 잘게 다지고,냄비에 물을 붓고 끓으면 우엉을 넣고 1분 정도 데쳐 물을 따라 버리고,우엉에 양념장과 다시마물물기 없이 조려지면 불을 끄고 올리고당현미밥에 조린 우엉과 참기름"
달래간장버터밥,"['다진 쇠고기', '밥', '버터', '달걀', '무순', '설탕', '달래', '간장', '다진 양파', '참기름', '통깨']","달래는 송송 썰어 나머지 달래 양념장 재료와 섞고,쇠고기는 고기 양념에 버무려 중간 불로 달군 팬에 젓가락으로 저어가며 볶고,그릇에 밥과 버터볶은 쇠고기, 무순을 올리고 달래 양념장을 곁들여 마무리."
팽이잡채밥,"['팽이버섯', '피망', '밥', '당근', '검은깨', '설탕']","팽이버섯은 밑동을 제거하고, 피망과 당근은 곱게 채 썰고, 양념장은 섞고,팬에 식용유식용유밥에 얹고 검은깨를 뿌려 마무리."
매콤가지오므라이스,"['가지', '달걀', '밥', '양파', '설탕', '소금']","가지는 길게 4등분하여 납작하게 썰고, 양파는 굵게 다지고,달걀은 소금을 넣어 곱게 풀고,팬에 식용유가지의 숨이 죽기 시작하면 밥을 넣고 버무린 뒤 양념장을 넣어 살짝 더 볶고,다른 팬에 식용유반 이상 익으면 중앙에 밥을 얹고 양쪽 가장자리의 달걀을 접어 모양을 만들고 그릇에 뒤집어 담아 마무리."
흑임자죽,"['쌀', '검은깨', '꿀', '잣', '소금']","쌀은 2~3번 깨끗이 헹구고 물에 30분간 불린 뒤 물기를 빼고,검은깨는 마른 팬에서 약한 불로 저어가며 볶고,믹서에 불린 쌀과 검은깨, 물거른 국물을 냄비에 붓고 걸쭉한 농도가 될 때까지 저어가며 끓인 뒤 소금, 꿀로 간하고 잣을 올려 마무리."
우엉간장밥,"['현미', '백미', '우엉', '다시마', '3장)', '표고버섯', '설탕', '참기름']","현미와 백미를 섞고 2~3번 깨끗이 헹군 뒤 30분간 불리고, 다시마는 물우엉은 껍질을 벗기고 얇게 썰어 식촛물에 담가두고, 표고버섯은 밑동을 떼 납작하게 썰고,참기름쌀이 투명해지기 시작하면 양념장을 넣어 조금 더 볶고 다시마물"
제육양념밥,"['쌀', '김치', '돼지고기 앞다릿살', '간장']","쌀은 2~3번 씻은 뒤 물에 담가 30분간 불려 물기를 빼고,양념장을 만들고,김치는 먹기 좋게 썰고,돼지고기는 얇게 썰어 먹기 좋은 크기로 등분한 뒤 칼등으로 두들겨 연육하고,밥솥에 돼지고기와 김치, 양념장을 넣어 고루 섞은 뒤 쌀을 넣어 섞고,물"
시금치베이컨밥말이,"['시금치', '밥', '베이컨', '소금', '소금', '참기름']","시금치는 다듬어 소금데친 시금치를 찬물에 헹군 뒤 물기를 꼭 짜고 굵게 다져 시금치 양념에 무치고,양념한 시금치와 참기름비빈 밥을 베이컨 폭에 맞춰 둥글게 뭉쳐 베이컨에 올려 돌돌 말고,중간 불로 달군 팬에 매듭이 바닥으로 가게 올려 굽고, 노릇해지면 굴려가며 구워 마무리."
닭고기유부밥,"['쌀', '유부', '닭가슴살', '당근', '불린 표고버섯', '다시마물', '소금', '청주', '후춧가루', '간장', '맛술', '청주', '참기름', '소금']","쌀은 2~3번 씻은 뒤 물에 담가 30분간 불려 물기를 빼고,유부는 길게 4등분하고, 당근은 한입 크기로 얇게 썰고, 불린 표고버섯은 밑동을 제거한 뒤 어슷하게 납작 썰고,닭가슴살은 한입 크기로 썰어 밑간하고,밥솥에 불린 쌀과 준비한 재료를 고루 담은 뒤 다시마 물취사한 뒤 고루 섞어 마무리."
아스파라거스 전복볶음밥,"['전복', '아스파라거스', '마늘', '생강', '밥', '굴소스', '후춧가루', '참기름']",
녹두닭안심죽,"['불린 쌀', '불린 녹두', '닭안심', '양파', '감자', '닭육수', '']","불린 쌀과 불린 녹두는 낱알이 ⅓ 크기가 되도록 믹서에 갈고,닭안심, 양파, 감자는 잘게 다지고,냄비에 모든 재료를 넣고 중약 불로 볶다가 닭 겉면이 익으면 닭육수를 부어 센 불로 끓이고,끓어오르면 중약 불로 줄여 쌀알이 퍼질 때까지 끓여 마무리."
하이라이스 도리아,"['양파', '하이라이스가루', '찬밥', '슈레드 모차렐라치즈', '브로콜리', '양송이버섯', '소금']","끓는 물에 소금양파는 채 썰고, 양송이버섯은 얇게 썰고,팬에 식용유양파가 반투명해지면 버섯을 넣어 살짝 더 볶다가 물끓어오르면 찬밥을 넣어 중간 불로 끓이다가 밥알이 풀어지기 시작하면 브로콜리를 넣어 1분 정도 더 끓이고,오븐 용기에 옮겨 담고 모차렐라치즈를 고루 뿌려 200℃로 예열한 오븐에서 10분간 노릇하게 구워 마무리."
달걀말이밥,"['쪽파', '달걀', '찬밥', '팽이버섯', '새우젓 국물', '청주', '소금', '후춧가루']","쪽파와 팽이버섯은 송송 썰고,달걀은 양념을 넣어 곱게 풀고,달걀물에 찬밥을 넣어 덩어리 없이 젓가락으로 풀어 섞은 뒤 쪽파와 팽이버섯을 넣어 가볍게 버무리고,팬에 식용유반숙으로 익으면 가장자리부터 말아가며 중약 불로 속까지 익힌 뒤 먹기 좋게 썰어 마무리."
양푼비빔밥,"['김치', '달걀', '밥', '김가루', '오이', '날치알', '고추장', '소금']","오이는 얇게 썰고 소금김치는 송송 썰고, 양념장을 만들고,식용유식용유밥에 김치와 오이볶음, 양념장, 날치알, 김가루, 달걀프라이를 올리고 비벼 마무리."
골뱅이냉묵사발,"['시판 냉면육수', '도토리묵', '통조림 골뱅이', '김치', '상추', '당근', '김가루', '부순 참깨', '설탕', '식초', '참기름', '부순 참깨']","냉면육수는 냉동실에 미리 얼려 살얼음으로 만들어두고,도토리묵은 굵게 채 썰고,상추는 굵게 채 썰고, 당근은 곱게 채 썰고, 골뱅이는 체에 걸러 물기를 뺀 뒤 먹기 좋은 크기로 썰고,김치는 송송 썰어 김치 양념에 버무리고,그릇에 모든 재료를 둘러 담은 뒤 먹기 직전 냉면육수를 부어 마무리."
노각생채비빔밥,"['노각', '달걀', '밥', '송송 썬 쪽파', '김가루', '고춧가루', '식초', '고추장', '물엿', '다진 마늘', '부순 참깨', '소금', '참기름']","노각은 껍집을 벗기고, 반으로 갈라 숟가락으로 속씨를 긁어낸 뒤 얇게 어슷 썰고,노각에 소금볼에 양념장 재료를 넣어 섞은 뒤 절인 노각을 넣어 버무리달걀프라이를 만들고,밥에 노각무침과 달걀프라이를 얹고,취향에 맞게 참기름"
바나나차조미음,"['불린 쌀', '불린 차조', '바나나', '']","불린 쌀과 차조는 물바나나는 곱게 으깨고,냄비에 갈아 놓은 쌀과 차조를 넣어 중약 불에서 5분간 끓이고,으깬 바나나를 넣고 약한 불에서 2~3분간 더 끓이고,고운 체에 걸러 마무리."
로제소스 리소토,"['양송이', '양파', '시판 토마토소스', '우유', '생크림', '밥', '바지락', '칵테일새우', '청주', '슈레드 모차렐라치즈', '올리브유', '다진 마늘', '소금', '후춧가루']","양송이는 한입 크기로 썰고, 양파는 굵게 다지고,팬에 올리브유양파가 반투명해지면 바지락과 칵테일새우를 넣고 청주바지락이 입을 벌리기 시작하면 시판 토마토소스끓어오르면 밥을 넣고 저어가며 끓이고,국물이 ⅓정도로 졸아들면 소금"
치즈멸치강정,"['아몬드', '호두', '잔멸치', '슬라이스 치즈', '마른 크랜베리', '설탕', '맛술', '올리고당']","아몬드팬에 물불을 끄고 다진 아몬드와 호두, 잔멸치, 마른 크랜베리넓은 쟁반에 유산지를 깔고 섞은 재료를 고루 펼쳐 담은 뒤 슬라이스 치즈를 잘게 찢어 올리고,한입 크기로 떼어 둥글게 빚어 마무리."
브로콜리베이컨오믈렛,"['브로콜리', '마늘', '베이컨', '표고버섯', '달걀', '식빵', '방울토마토', '슈레드 모차렐라치즈', '소금']","브로콜리는 작게 썰고, 마늘은 얇게 썰고, 베이컨과 밑동을 제거한 표고버섯, 식빵, 방울토마토는 작게 썰고,브로콜리는 소금식용유베이컨에서 기름이 빠져나오기 시작하면 버섯과 브로콜리, 식빵, 방울토마토를 넣어 살짝 볶아 꺼내고,식용유반쯤 익으면 볶은 재료와 치즈를 올리고 달걀 가장자리를 1~2번 접어 약한 불로 살짝 더 익혀 마무리."
떠먹는 초밥,"['큐브참치', '오이', '달걀', '밥', '불린 표고버섯', '마른 고추', '설탕', '설탕', '소금']","큐브참치는 물기를 빼 건더기만 준비하고, 표고버섯은 밑동을 제거한 뒤 6등분하고,냄비에 조림장과 작게 자른 마른 고추를 넣고 중간 불에서 끓어오르면 참치와 버섯을 넣어 물기가 거의 없어질 때까지 조린 뒤 불을 끄고,오이는 얇게 썰어 소금달걀은 소금밥은 배합초와 버무린 뒤 그릇에 담고 참치버섯조림과 오이절임, 달걀 지단을 올려 마무리."
라따뚜이덮밥,"['프랑크소시지', '양파', '주키니호박', '시판 토마토소스', '밥', '마늘', '양송이버섯']","소시지, 마늘, 호박, 양송이버섯은 얇게 썰고, 양파는 한입 크기로 썰고,팬에 식용유호박을 넣어 30초 정도 볶다가 투명해지기 시작하면 소시지와 버섯을 넣어 1분 더 볶고,시판 토마토소스밥 위에 볶은 재료를 올려 마무리."
채소멸치죽,"['쌀', '양파', '당근', '감자', '잔멸치', '표고버섯', '참기름', '소금']","쌀은 깨끗이 씻어 물에 30분간 불리고,양파, 당근, 감자, 표고버섯은 다지고,냄비에 참기름물끓기 시작하면 약한 불로 줄여 저어가며 20분간 끓이고,맛을 보고 소금"
옥수수김밥,"['밥', '통조림 옥수수', '김치', '김', '맛살', '소금', '참기름', '참깨', '마요네즈', '소금', '후춧가루']","밥은 밑간에 버무리고,통조림 옥수수는 체에 밭쳐 물기를 제거한 뒤 양념에 버무리고,김치는 물에 헹궈 물기를 짠 뒤 3cm 폭으로 길게 갈라 2등분하고,맛살은 길게 2등분하고,김 ⅔ 면적에 밥"
